Vd /V	              Is 	           Id  
-6.000000E+1	4.170000E-11	-1.718000E-10	
-5.800000E+1	3.350000E-11	-7.850000E-11	
-5.600000E+1	2.650000E-11	-6.250000E-11	
-5.400000E+1	2.230000E-11	-5.180000E-11	
-5.200000E+1	2.060000E-11	-4.340000E-11	
-5.000000E+1	1.770000E-11	-3.330000E-11	
-4.800000E+1	1.460000E-11	-3.120000E-11	
-4.600000E+1	1.170000E-11	-2.610000E-11	
-4.400000E+1	1.060000E-11	-2.240000E-11	
-4.200000E+1	8.700000E-12	-1.720000E-11	
-4.000000E+1	7.400000E-12	-1.360000E-11	
-3.800000E+1	7.000000E-12	-1.020000E-11	
-3.600000E+1	6.100000E-12	-9.000000E-12	
-3.400000E+1	4.000000E-12	-4.000000E-12	
-3.200000E+1	3.100000E-12	-3.600000E-12	
-3.000000E+1	2.100000E-12	6.000000E-13	
-2.800000E+1	1.700000E-12	2.100000E-12	
-2.600000E+1	5.000000E-13	4.100000E-12	
-2.400000E+1	1.000000E-13	6.300000E-12	
-2.200000E+1	-5.000000E-13	9.200000E-12	
-2.000000E+1	-1.800000E-12	8.000000E-12	
-1.800000E+1	-2.800000E-12	1.210000E-11	
-1.600000E+1	-3.400000E-12	1.310000E-11	
-1.400000E+1	-5.200000E-12	1.490000E-11	
-1.200000E+1	-4.300000E-12	1.500000E-11	
-1.000000E+1	-5.500000E-12	1.720000E-11	
-8.000000E+0	-6.100000E-12	1.990000E-11	
-6.000000E+0	-6.400000E-12	2.080000E-11	
-4.000000E+0	-6.700000E-12	2.340000E-11	
-2.000000E+0	-8.400000E-12	2.610000E-11	
0.000000E+0	-8.300000E-12	2.550000E-11	
2.000000E+0	-9.700000E-12	2.680000E-11	
4.000000E+0	-9.100000E-12	2.890000E-11	
6.000000E+0	-1.040000E-11	3.060000E-11	
8.000000E+0	-1.120000E-11	3.090000E-11	
1.000000E+1	-1.210000E-11	3.120000E-11	
1.200000E+1	-1.180000E-11	3.190000E-11	
1.400000E+1	-1.200000E-11	3.460000E-11	
1.600000E+1	-1.330000E-11	3.800000E-11	
1.800000E+1	-1.350000E-11	3.760000E-11	
2.000000E+1	-1.310000E-11	3.960000E-11	
2.200000E+1	-1.370000E-11	4.050000E-11	
2.400000E+1	-1.410000E-11	4.210000E-11	
2.600000E+1	-1.460000E-11	4.360000E-11	
2.800000E+1	-1.410000E-11	4.620000E-11	
3.000000E+1	-1.660000E-11	4.840000E-11	
